标志,ID,人物,内容,跳转
@,1,老人,......,2
@,2,老人,嗯......我睡了多久？,3
@,3,老人,好像做了一个很长的梦啊......,4
@,4,老人,梦到什么了呢？,5
@,5,老人,......,6
@,6,老人,记不清了，人老果然忘性大啊。,7
@,7, ,空空的房间里，一张偌大的床孤零零地摆着。,8
@,8, ,就像我一样,9
@,9, ,【老人沉重的叹了口气，望向窗外。】,10
@,10,老人,我想要的......究竟是什么？,11
@,11,老人,梦里的真实......是我所经历的吗？,12
@,12,老人,那些欢笑，泪水，感动......究竟是我的回忆，还是我凭空的臆想？,13
@,13,老人,我所珍贵的回忆......找不回来了吗......,14
@,14,老人,我的人生，就这样......,15
@,15,老人,被遗忘了吗？,16
@,16, ,......,17
@,17, ,我做了一个很长的梦。,18
@,18, ,梦里的我，就这么孤单的坐在床上，望着窗外。,19
@,19, ,世界一片漆黑，沉寂，未见曙光。,20
@,20, ,只有寥寥数星，被遗忘在天空的角落里。,21
@,21, ,【全剧终】,22
end,22,,,
